Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-10-10 11:50:53 UTC	Evo France 2025	ROUND 1	Winners Round 1	1141298	3632895	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:50:40 UTC	Evo France 2025	ROUND 1	Winners Round 2	1340131	911523	2	0	N/A	N/A
2025-10-10 11:50:36 UTC	Evo France 2025	ROUND 1	Winners Round 1	911523	1240333	2	0	N/A	N/A
2025-10-10 11:49:00 UTC	Evo France 2025	ROUND 1	Losers Round 5	342260	4445402	2	0	N/A	N/A
2025-10-10 11:48:55 UTC	Evo France 2025	ROUND 1	Losers Round 5	1522418	3563615	2	0	N/A	N/A
2025-10-10 11:48:48 UTC	Evo France 2025	ROUND 1	Losers Round 4	3563615	4265075	2	0	N/A	N/A
2025-10-10 11:48:41 UTC	Evo France 2025	ROUND 1	Losers Round 4	1522418	1316217	2	0	N/A	N/A
2025-10-10 11:48:35 UTC	Evo France 2025	ROUND 1	Losers Round 4	4445402	4909892	2	1	N/A	N/A
2025-10-10 11:48:29 UTC	Evo France 2025	ROUND 1	Losers Round 4	342260	1095035	2	0	N/A	N/A
2025-10-10 11:48:22 UTC	Evo France 2025	ROUND 1	Losers Round 3	1095035	1225509	2	0	N/A	N/A
2025-10-10 11:48:13 UTC	Evo France 2025	ROUND 1	Losers Round 3	4445402	4012725	2	0	N/A	N/A
2025-10-10 11:48:07 UTC	Evo France 2025	ROUND 1	Losers Round 3	1316217	398478	2	0	N/A	N/A
2025-10-10 11:48:02 UTC	Evo France 2025	ROUND 1	Losers Round 3	4265075	1143524	2	0	N/A	N/A
2025-10-10 11:47:16 UTC	Evo France 2025	ROUND 1	Losers Round 2	1225509	4741064	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:47:10 UTC	Evo France 2025	ROUND 1	Losers Round 2	1095035	4430499	2	0	N/A	N/A
2025-10-10 11:47:04 UTC	Evo France 2025	ROUND 1	Losers Round 2	4012725	4177045	2	1	N/A	N/A
2025-10-10 11:46:59 UTC	Evo France 2025	ROUND 1	Losers Round 1	4177045	2127431	2	1	N/A	N/A
2025-10-10 11:46:51 UTC	Evo France 2025	ROUND 1	Losers Round 2	4445402	2569499	2	1	N/A	N/A
2025-10-10 11:46:44 UTC	Evo France 2025	ROUND 1	Losers Round 2	1316217	4544007	2	0	N/A	N/A
2025-10-10 11:46:38 UTC	Evo France 2025	ROUND 1	Losers Round 2	398478	1943653	2	1	N/A	N/A
2025-10-10 11:46:32 UTC	Evo France 2025	ROUND 1	Losers Round 2	1143524	4823267	2	0	N/A	N/A
2025-10-10 11:46:23 UTC	Evo France 2025	ROUND 1	Losers Round 2	4265075	3004561	2	1	N/A	N/A
2025-10-10 11:46:15 UTC	Evo France 2025	ROUND 1	Losers Round 1	1143524	4737931	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:46:06 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	894065	3716278	2	0	N/A	N/A
2025-10-10 11:46:01 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	368368	4930366	2	0	N/A	N/A
2025-10-10 11:45:33 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	3716278	4909892	2	1	N/A	N/A
2025-10-10 11:45:25 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	894065	342260	2	1	N/A	N/A
2025-10-10 11:45:17 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	4930366	3563615	2	0	N/A	N/A
2025-10-10 11:45:08 UTC	Evo France 2025	ROUND 1	Winners Round 2	3716278	3004561	2	1	N/A	N/A
2025-10-10 11:44:56 UTC	Evo France 2025	ROUND 1	Winners Round 2	4909892	4823267	2	0	N/A	N/A
2025-10-10 11:44:48 UTC	Evo France 2025	ROUND 1	Winners Round 2	894065	1943653	2	0	N/A	N/A
2025-10-10 11:44:39 UTC	Evo France 2025	ROUND 1	Winners Round 2	342260	1316217	2	0	N/A	N/A
2025-10-10 11:44:33 UTC	Evo France 2025	ROUND 1	Winners Round 2	4930366	4445402	2	0	N/A	N/A
2025-10-10 11:44:20 UTC	Evo France 2025	ROUND 1	Winners Round 2	3563615	4012725	2	0	N/A	N/A
2025-10-10 11:44:13 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	368368	1522418	2	0	N/A	N/A
2025-10-10 11:44:09 UTC	Evo France 2025	ROUND 1	Winners Round 2	1522418	4430499	2	0	N/A	N/A
2025-10-10 11:44:00 UTC	Evo France 2025	ROUND 1	Winners Round 1	3716278	1225509	2	0	N/A	N/A
2025-10-10 11:43:53 UTC	Evo France 2025	ROUND 1	Winners Round 1	4909892	1095035	2	0	N/A	N/A
2025-10-10 11:43:43 UTC	Evo France 2025	ROUND 1	Winners Round 1	894065	4177045	2	0	N/A	N/A
2025-10-10 11:43:33 UTC	Evo France 2025	ROUND 1	Winners Round 1	1943653	2127431	2	1	N/A	N/A
2025-10-10 11:43:26 UTC	Evo France 2025	ROUND 1	Winners Round 1	1316217	2569499	2	1	N/A	N/A
2025-10-10 11:43:20 UTC	Evo France 2025	ROUND 1	Winners Round 1	4930366	4544007	2	0	N/A	N/A
2025-10-10 11:43:16 UTC	Evo France 2025	ROUND 1	Winners Round 1	4012725	398478	2	1	N/A	N/A
2025-10-10 11:43:10 UTC	Evo France 2025	ROUND 1	Winners Round 1	4430499	4737931	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:42:59 UTC	Evo France 2025	ROUND 1	Winners Round 1	1522418	1143524	2	0	N/A	N/A
2025-10-10 11:42:53 UTC	Evo France 2025	ROUND 1	Winners Round 2	368368	4741064	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:42:48 UTC	Evo France 2025	ROUND 1	Winners Round 1	4741064	4265075	2	0	N/A	N/A
2025-10-10 11:28:16 UTC	Evo France 2025	ROUND 1	Losers Round 5	3257091	4736995	2	0	N/A	N/A
2025-10-10 11:28:10 UTC	Evo France 2025	ROUND 1	Losers Round 5	4827700	638429	2	1	N/A	N/A
2025-10-10 11:28:02 UTC	Evo France 2025	ROUND 1	Losers Round 4	3257091	2626576	2	1	N/A	N/A
2025-10-10 11:27:57 UTC	Evo France 2025	ROUND 1	Losers Round 4	4736995	247423	2	1	N/A	N/A
2025-10-10 11:27:40 UTC	Evo France 2025	ROUND 1	Losers Round 4	4827700	315421	2	0	N/A	N/A
2025-10-10 11:27:32 UTC	Evo France 2025	ROUND 1	Losers Round 4	638429	2932607	2	0	N/A	N/A
2025-10-10 11:27:24 UTC	Evo France 2025	ROUND 1	Losers Round 3	2626576	3671552	2	1	N/A	N/A
2025-10-10 11:27:20 UTC	Evo France 2025	ROUND 1	Losers Round 3	247423	1408589	2	0	N/A	N/A
2025-10-10 11:27:16 UTC	Evo France 2025	ROUND 1	Losers Round 3	4827700	4799838	2	0	N/A	N/A
2025-10-10 11:27:10 UTC	Evo France 2025	ROUND 1	Losers Round 3	638429	3465084	2	1	N/A	N/A
2025-10-10 11:27:05 UTC	Evo France 2025	ROUND 1	Losers Round 2	3671552	624333	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:27:01 UTC	Evo France 2025	ROUND 1	Losers Round 2	2626576	2316995	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:26:57 UTC	Evo France 2025	ROUND 1	Losers Round 2	1408589	4030605	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:26:53 UTC	Evo France 2025	ROUND 1	Losers Round 2	247423	3514301	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:26:49 UTC	Evo France 2025	ROUND 1	Losers Round 2	4827700	3886338	2	0	N/A	N/A
2025-10-10 11:26:45 UTC	Evo France 2025	ROUND 1	Losers Round 2	4799838	2501397	2	0	N/A	N/A
2025-10-10 11:26:39 UTC	Evo France 2025	ROUND 1	Losers Round 2	638429	1679562	2	0	N/A	N/A
2025-10-10 11:26:35 UTC	Evo France 2025	ROUND 1	Losers Round 2	3465084	4211311	2	0	N/A	N/A
2025-10-10 11:26:31 UTC	Evo France 2025	ROUND 1	Losers Round 1	1408589	996497	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:26:25 UTC	Evo France 2025	ROUND 1	Losers Round 1	638429	3233914	2	0	N/A	N/A
2025-10-10 11:26:09 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	3564471	4433465	2	0	N/A	N/A
2025-10-10 11:26:05 UTC	Evo France 2025	ROUND 1	Winners Semi-Final	133677	4416005	2	0	N/A	N/A
2025-10-10 11:26:00 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	4433465	4736995	2	0	N/A	N/A
2025-10-10 11:25:56 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	3564471	3257091	2	0	N/A	N/A
2025-10-10 11:25:51 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	4416005	2932607	2	0	N/A	N/A
2025-10-10 11:25:46 UTC	Evo France 2025	ROUND 1	Winners Quarter-Final	133677	315421	2	0	N/A	N/A
2025-10-10 11:25:39 UTC	Evo France 2025	ROUND 1	Winners Round 2	4433465	3465084	2	0	N/A	N/A
2025-10-10 11:25:34 UTC	Evo France 2025	ROUND 1	Winners Round 2	4736995	1679562	2	0	N/A	N/A
2025-10-10 11:25:30 UTC	Evo France 2025	ROUND 1	Winners Round 2	3257091	2501397	2	0	N/A	N/A
2025-10-10 11:25:25 UTC	Evo France 2025	ROUND 1	Winners Round 2	3564471	3886338	2	1	N/A	N/A
2025-10-10 11:25:17 UTC	Evo France 2025	ROUND 1	Winners Round 2	4416005	3514301	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:25:07 UTC	Evo France 2025	ROUND 1	Winners Round 2	2932607	4030605	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:25:02 UTC	Evo France 2025	ROUND 1	Winners Round 2	133677	2626576	2	0	N/A	N/A
2025-10-10 11:24:55 UTC	Evo France 2025	ROUND 1	Winners Round 2	315421	624333	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:24:51 UTC	Evo France 2025	ROUND 1	Winners Round 1	4433465	3671552	2	0	N/A	N/A
2025-10-10 11:24:48 UTC	Evo France 2025	ROUND 1	Winners Round 1	4736995	2316995	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-10 11:24:43 UTC	Evo France 2025	ROUND 1	Winners Round 1	3257091	1408589	2	1	N/A	N/A
