playerId	playerTag	country	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
224650	MenaRD	DO	2023-08-06	1674	1674	1500	174	1	0	True	0.8823529411764706	17.0	15.0	2.0
624333	NASR|AngryBird	AE	2023-08-06	1654	1654	1500	154	2	-1	True	0.9285714285714286	14.0	13.0	1.0
240230	Punk		2023-08-06	1635	1635	1500	135	3	-2	True	0.8461538461538461	13.0	11.0	2.0
232824	Bonchan	JP	2023-08-06	1627	1627	1500	127	4	-3	True	0.8461538461538461	13.0	11.0	2.0
565873	Fuudo	JP	2023-08-06	1627	1627	1500	127	4	-3	True	0.8461538461538461	13.0	11.0	2.0
395486	moke	JP	2023-08-06	1622	1622	1500	122	6	-5	True	0.8571428571428571	14.0	12.0	2.0
405400	ZJZ	TW	2023-08-06	1622	1622	1500	122	6	-5	True	0.8571428571428571	14.0	12.0	2.0
148527	Tokido	JP	2023-08-06	1619	1619	1500	119	8	-7	True	0.8571428571428571	14.0	12.0	2.0
2360463	Yamaguchi		2023-08-06	1617	1617	1500	117	9	-8	True	0.8461538461538461	13.0	11.0	2.0
327935	TODAKAI	PA	2023-08-06	1615	1615	1500	115	10	-9	True	0.8461538461538461	13.0	11.0	2.0
405023	Machabo	JP	2023-08-06	1614	1614	1500	114	11	-10	True	0.8333333333333334	12.0	10.0	2.0
1366617	Kakeru		2023-08-06	1613	1613	1500	113	12	-11	True	0.8333333333333334	12.0	10.0	2.0
1988145	Zykles	CA	2023-08-06	1607	1607	1500	107	13	-12	True	0.8333333333333334	12.0	10.0	2.0
266493	Dogura	JP	2023-08-06	1606	1606	1500	106	14	-13	True	0.8461538461538461	13.0	11.0	2.0
385095	Nemo	JP	2023-08-06	1606	1606	1500	106	14	-13	True	0.8333333333333334	12.0	10.0	2.0
214100	Oil King	TW	2023-08-06	1606	1606	1500	106	14	-13	True	0.8333333333333334	12.0	10.0	2.0
132321	Julio	US	2023-08-06	1604	1604	1500	104	17	-16	True	0.8461538461538461	13.0	11.0	2.0
212351	GamerBee	TW	2023-08-06	1604	1604	1500	104	17	-16	True	0.8181818181818182	11.0	9.0	2.0
224697	Caba	DO	2023-08-06	1604	1604	1500	104	17	-16	True	0.8333333333333334	12.0	10.0	2.0
616064	Fujimura	JP	2023-08-06	1604	1604	1500	104	17	-16	True	0.8333333333333334	12.0	10.0	2.0
561804	KR_Wrestlingman	KR	2023-08-06	1603	1603	1500	103	21	-20	True	0.8461538461538461	13.0	11.0	2.0
379268	Big Bird	AE	2023-08-06	1601	1601	1500	101	22	-21	True	0.8333333333333334	12.0	10.0	2.0
138008	HAITANI	JP	2023-08-06	1600	1600	1500	100	23	-22	True	0.8333333333333334	12.0	10.0	2.0
3500727	Ramos	US	2023-08-06	1598	1598	1500	98	24	-23	True	0.8181818181818182	11.0	9.0	2.0
67022	Bass	US	2023-08-06	1596	1596	1500	96	25	-24	True	0.8333333333333334	12.0	10.0	2.0
131806	SR NuckleDu	US	2023-08-06	1595	1595	1500	95	26	-25	True	0.8333333333333334	12.0	10.0	2.0
184121	FlashMetroid	US	2023-08-06	1595	1595	1500	95	26	-25	True	0.8333333333333334	12.0	10.0	2.0
842619	Blaizzy	US	2023-08-06	1595	1595	1500	95	26	-25	True	0.8181818181818182	11.0	9.0	2.0
184798	PortaJon	US	2023-08-06	1594	1594	1500	94	29	-28	True	0.8181818181818182	11.0	9.0	2.0
277358	Momochi	JP	2023-08-06	1594	1594	1500	94	29	-28	True	0.8181818181818182	11.0	9.0	2.0
755025	GentlemanThief	US	2023-08-06	1591	1591	1500	91	31	-30	True	0.8	10.0	8.0	2.0
859219	Masoma	US	2023-08-06	1590	1590	1500	90	32	-31	True	0.8181818181818182	11.0	9.0	2.0
131184	hsien	US	2023-08-06	1589	1589	1500	89	33	-32	True	0.8333333333333334	12.0	10.0	2.0
138015	Mago	JP	2023-08-06	1588	1588	1500	88	34	-33	True	0.8	10.0	8.0	2.0
173349	Diaphone	US	2023-08-06	1588	1588	1500	88	34	-33	True	0.8333333333333334	12.0	10.0	2.0
2825566	Grim	US	2023-08-06	1588	1588	1500	88	34	-33	True	0.9	10.0	9.0	1.0
1451241	TheSticky	FR	2023-08-06	1587	1587	1500	87	37	-36	True	0.8333333333333334	12.0	10.0	2.0
1225255	Daisuke	US	2023-08-06	1587	1587	1500	87	37	-36	True	0.8	10.0	8.0	2.0
139339	Speedkicks	US	2023-08-06	1587	1587	1500	87	37	-36	True	0.8333333333333334	12.0	10.0	2.0
155429	ChrisCCH	US	2023-08-06	1583	1583	1500	83	40	-39	True	0.8181818181818182	11.0	9.0	2.0
401790	Ryusei	JP	2023-08-06	1583	1583	1500	83	40	-39	True	0.8	10.0	8.0	2.0
557282	Seo	JP	2023-08-06	1583	1583	1500	83	40	-39	True	0.7777777777777778	9.0	7.0	2.0
135344	Semiij	US	2023-08-06	1582	1582	1500	82	43	-42	True	0.8	10.0	8.0	2.0
623395	Valmaster	FR	2023-08-06	1582	1582	1500	82	43	-42	True	0.8	10.0	8.0	2.0
3505115	jaccy	JP	2023-08-06	1581	1581	1500	81	45	-44	True	0.8181818181818182	11.0	9.0	2.0
266549	GO1	JP	2023-08-06	1581	1581	1500	81	45	-44	True	0.8	10.0	8.0	2.0
376274	Reynald	US	2023-08-06	1580	1580	1500	80	47	-46	True	0.8181818181818182	11.0	9.0	2.0
872530	COMBO FIEND	US	2023-08-06	1579	1579	1500	79	48	-47	True	0.8	10.0	8.0	2.0
