stage	quarter	match	date	winner	loser	winner_sets	loser_sets	battle	chars_of_winner	chars_of_loser
1	8	3	2023-08-29	じゃじい	ネモ	1	0	4	LUKE	JP
1	9	1	2023-09-01	Shuto	ガチくん	2	1	1	MARISA	RASHID
1	9	1	2023-09-01	カワノ	ササモ	2	0	2	LUKE	DEEJAY
1	9	1	2023-09-01	ひぐち	立川	3	1	3	GUILE	LUKE
1	9	2	2023-09-01	ふ～ど	まちゃぼー	2	0	1	DEEJAY	KEN
1	9	2	2023-09-01	竹内ジョン	マゴ	2	0	2	RASHID	CAMMY
1	9	2	2023-09-01	もけ	板橋ザンギエフ	3	1	3	CHUNLI	ZANGIEF
1	9	2	2023-09-01	マゴ	ふ～ど	1	0	4	CAMMY	DEEJAY
1	9	3	2023-09-01	ももち	どぐら	2	1	1	LUKE	DEEJAY
1	9	3	2023-09-01	ヤマグチ	フェンリっち	2	0	2	DEEJAY	JP
1	9	3	2023-09-01	藤村	GO1	3	1	3	KEN	CHUNLI
1	10	1	2023-09-05	まちゃぼー	ボンちゃん	2	1	1	KEN	LUKE
1	10	1	2023-09-05	もけ	sako	2	1	2	CHUNLI	CHUNLI
1	10	1	2023-09-05	水派	ときど	3	1	3	CAMMY	KEN
1	10	2	2023-09-05	どぐら	キチパ	2	1	1	DEEJAY	LILY
1	10	2	2023-09-05	フェンリっち	ACQUA	2	0	2	JP	JP
1	10	2	2023-09-05	かずのこ	じゃじい	3	1	3	CAMMY	LUKE
1	10	3	2023-09-05	ぷげら	オニキ	2	1	1	JURI	KIMBERLY
1	10	3	2023-09-05	KEI.B	ガチくん	2	0	2	JP	RASHID
1	10	3	2023-09-05	あきら	カワノ	3	1	3	CAMMY	LUKE
1	11	1	2023-09-08	竹内ジョン	ACQUA	2	0	1	RASHID	JP
1	11	1	2023-09-08	ナウマン	キチパ	2	1	2	KEN	LILY
1	11	1	2023-09-08	ふ～ど	じゃじい	3	1	3	DEEJAY	LUKE
1	11	2	2023-09-08	KEI.B	ジョニィ	2	1	1	JP	MANON
1	11	2	2023-09-08	鶏めし	ももち	2	0	2	DHALSIM	LUKE
1	11	2	2023-09-08	あきら	ヤマグチ	3	1	3	CAMMY	DEEJAY
1	11	3	2023-09-08	マゴ	ひぐち	2	1	1	JURI,CAMMY	GUILE
1	11	3	2023-09-08	もけ	ネモ	2	0	2	CHUNLI	JP
1	11	3	2023-09-08	ササモ	まちゃぼー	3	0	3	DEEJAY	KEN
1	11	3	2023-09-08	ササモ	まちゃぼー	1	0	4	DEEJAY	KEN
1	12	1	2023-09-12	竹内ジョン	かずのこ	2	1	1	RASHID	CAMMY
1	12	1	2023-09-12	GO1	ナウマン	2	1	2	CHUNLI	KEN
1	12	1	2023-09-12	ふ～ど	フェンリっち	3	0	3	DEEJAY	JP
1	12	2	2023-09-12	sako	ササモ	2	1	1	CHUNLI	DEEJAY
1	12	2	2023-09-12	ネモ	ときど	2	0	2	JP	KEN
1	12	2	2023-09-12	りゅうせい	Shuto	3	1	3	JP	MARISA
1	12	3	2023-09-12	ジョニィ	ぷげら	2	1	1	MANON	DEEJAY
1	12	3	2023-09-12	ヤマグチ	カワノ	2	0	2	DEEJAY	LUKE
1	12	3	2023-09-12	藤村	ガチくん	3	2	3	KEN	RASHID
