date	name	rating	diff_rating	rank	diff_rank	points	game_n	win_n	lose_n	updated
2023-09-01	Saishunkan Sol 熊本	1562	15	1	1	170	20	13	7	True
2023-08-29	FAV gaming	1531	-19	2	-1	170	19	12	7	False
2023-09-01	忍ism Gaming	1527	30	3	3	150	19	12	7	True
2023-09-01	魚群	1505	-20	4	-1	145	19	11	8	True
2023-09-01	Good 8 Squad	1501	-15	5	0	115	19	10	9	True
2023-08-29	広島 TEAM iXA	1499	20	6	1	100	20	8	12	False
2023-09-01	CAG	1495	-30	7	-4	130	21	10	11	True
2023-09-01	DetonatioN FocusMe	1461	20	8	0	70	19	6	13	True
2023-08-29	名古屋OJA BODY STAR	1419	-17	9	0	60	18	5	13	False
