Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-09-13 12:58:59 UTC	UFA 2025	Pools	Winners Semi-Final	3578750	385608	2	0	N/A	N/A
2025-09-13 12:57:59 UTC	UFA 2025	Pools	Losers Round 3	4418704	1285483	2	1	N/A	N/A
2025-09-13 12:57:04 UTC	UFA 2025	Pools	Losers Round 3	4591922	2080212	2	0	N/A	N/A
2025-09-13 12:56:26 UTC	UFA 2025	Pools	Losers Round 3	3561126	2313510	2	0	N/A	N/A
2025-09-13 12:56:07 UTC	UFA 2025	Pools	Losers Round 4	2526799	1411451	2	0	N/A	N/A
2025-09-13 12:55:55 UTC	UFA 2025	Pools	Losers Round 4	3579639	3699698	2	0	Rashid	Guile
2025-09-13 12:55:12 UTC	UFA 2025	Pools	Winners Quarter-Final	261364	140787	2	1	N/A	N/A
2025-09-13 12:54:54 UTC	UFA 2025	Pools	Winners Semi-Final	226786	2182413	2	1	N/A	N/A
2025-09-13 12:54:43 UTC	UFA 2025	Pools	Losers Round 4	370671	3747010	2	1	Rashid	E. Honda
2025-09-13 12:54:37 UTC	UFA 2025	Pools	Losers Round 3	3567266	3398570	2	1	N/A	N/A
2025-09-13 12:54:09 UTC	UFA 2025	Pools	Winners Semi-Final	3935651	623395	2	1	N/A	N/A
2025-09-13 12:54:05 UTC	UFA 2025	Pools	Losers Round 3	661130	846442	2	0	N/A	N/A
2025-09-13 12:53:00 UTC	UFA 2025	Pools	Losers Round 3	4158599	3632533	2	0	N/A	N/A
2025-09-13 12:52:52 UTC	UFA 2025	Pools	Losers Round 3	3491075	1670441	2	1	N/A	N/A
2025-09-13 12:52:43 UTC	UFA 2025	Pools	Losers Round 3	4149210	4788179	2	0	N/A	N/A
2025-09-13 12:52:42 UTC	UFA 2025	Pools	Losers Round 3	319892	3547379	W	L	N/A	N/A
2025-09-13 12:51:49 UTC	UFA 2025	Pools	Losers Round 3	3596432	2316795	2	0	N/A	N/A
2025-09-13 12:51:00 UTC	UFA 2025	Pools	Winners Semi-Final	1148242	395486	2	0	Elena	Chun-Li
2025-09-13 12:50:03 UTC	UFA 2025	Pools	Losers Round 2	1205297	792702	2	0	N/A	N/A
2025-09-13 12:50:01 UTC	UFA 2025	Pools	Losers Round 4	2136320	617167	2	0	Sagat	Mai
2025-09-13 12:49:05 UTC	UFA 2025	Pools	Losers Round 2	2313510	2433528	2	0	N/A	N/A
2025-09-13 12:47:58 UTC	UFA 2025	Pools	Losers Round 3	3699698	3639957	2	0	Guile	Jamie
2025-09-13 12:47:49 UTC	UFA 2025	Pools	Winners Quarter-Final	3320259	3391721	2	0	N/A	N/A
2025-09-13 12:47:17 UTC	UFA 2025	Pools	Losers Round 3	1411451	3373033	2	0	Sagat	E. Honda
2025-09-13 12:46:57 UTC	UFA 2025	Pools	Losers Round 2	1285483	3297257	2	1	N/A	N/A
2025-09-13 12:46:44 UTC	UFA 2025	Pools	Losers Semi-Final	135910	240230	2	1	N/A	N/A
2025-09-13 12:46:07 UTC	UFA 2025	Pools	Winners Quarter-Final	1151706	2526799	2	1	Juri	Luke
2025-09-13 12:45:54 UTC	UFA 2025	Pools	Losers Round 2	3567266	4545313	2	0	N/A	N/A
2025-09-13 12:45:45 UTC	UFA 2025	Pools	Losers Round 2	4591922	4290111	2	0	N/A	N/A
2025-09-13 12:45:45 UTC	UFA 2025	Pools	Winners Quarter-Final	368359	1156976	2	0	N/A	N/A
2025-09-13 12:45:21 UTC	UFA 2025	Pools	Losers Round 2	3596432	2345859	2	0	N/A	N/A
2025-09-13 12:44:14 UTC	UFA 2025	Pools	Winners Quarter-Final	1148242	3579639	2	0	Elena	Rashid
2025-09-13 12:44:12 UTC	UFA 2025	Pools	Losers Round 2	1670441	4931100	2	0	N/A	N/A
2025-09-13 12:44:11 UTC	UFA 2025	Pools	Losers Round 2	3547379	3564732	2	0	N/A	N/A
2025-09-13 12:43:58 UTC	UFA 2025	Pools	Losers Round 2	4418704	2771339	2	1	N/A	N/A
2025-09-13 12:43:54 UTC	UFA 2025	Pools	Winners Quarter-Final	2182413	4788179	2	0	N/A	N/A
2025-09-13 12:43:46 UTC	UFA 2025	Pools	Winners Quarter-Final	3935651	3398570	2	0	N/A	N/A
2025-09-13 12:43:45 UTC	UFA 2025	Pools	Losers Round 3	519202	260462	2	1	N/A	N/A
2025-09-13 12:43:42 UTC	UFA 2025	Pools	Losers Round 2	846442	4023906	2	1	N/A	N/A
2025-09-13 12:43:37 UTC	UFA 2025	Pools	Winners Quarter-Final	226786	2080212	2	0	N/A	N/A
2025-09-13 12:42:56 UTC	UFA 2025	Pools	Losers Round 3	617167	3269970	2	0	Mai	Sagat
2025-09-13 12:42:44 UTC	UFA 2025	Pools	Winners Quarter-Final	623395	3561126	2	0	N/A	N/A
2025-09-13 12:42:17 UTC	UFA 2025	Pools	Winners Quarter-Final	2151987	853554	2	0	N/A	N/A
2025-09-13 12:42:16 UTC	UFA 2025	Pools	Losers Round 1	2313510	1503042	2	1	N/A	N/A
2025-09-13 12:42:08 UTC	UFA 2025	Pools	Losers Round 1	2433528	148844	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-09-13 12:41:57 UTC	UFA 2025	Pools	Losers Round 3	3747010	3465084	2	0	E. Honda	Sagat
2025-09-13 12:41:46 UTC	UFA 2025	Pools	Winners Round 2	261364	1205297	2	0	N/A	N/A
2025-09-13 12:39:27 UTC	UFA 2025	Pools	Losers Round 2	1411451	3727118	2	0	Sagat	E. Honda
2025-09-13 12:39:06 UTC	UFA 2025	Pools	Winners Quarter-Final	1816209	370671	2	0	Luke	Rashid
2025-09-13 12:39:01 UTC	UFA 2025	Pools	Losers Round 2	3383512	4271862	2	0	N/A	N/A
2025-09-13 12:38:47 UTC	UFA 2025	Pools	Losers Round 2	319892	3566257	W	L	N/A	N/A
2025-09-13 12:38:05 UTC	UFA 2025	Pools	Winners Quarter-Final	395486	2136320	2	0	Chun-Li	Sagat
2025-09-13 12:38:02 UTC	UFA 2025	Pools	Losers Round 2	3632533	2666635	2	0	N/A	N/A
2025-09-13 12:37:48 UTC	UFA 2025	Pools	Losers Round 1	4931100	2995752	2	1	N/A	N/A
2025-09-13 12:37:42 UTC	UFA 2025	Pools	Winners Round 2	4788179	148844	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-09-13 12:37:35 UTC	UFA 2025	Pools	Winners Quarter-Final	3578750	4158599	2	0	N/A	N/A
2025-09-13 12:37:31 UTC	UFA 2025	Pools	Losers Round 2	4149210	2415769	2	0	N/A	N/A
2025-09-13 12:37:14 UTC	UFA 2025	Pools	Winners Round 2	3320259	3547379	2	0	N/A	N/A
