date	name	rating	diff_rating	rank	diff_rank	points	game_n	win_n	lose_n	updated
2023-08-18	FAV gaming	1580	11	1	0	140	12	10	2	False
2023-08-22	Saishunkan Sol 熊本	1567	14	2	0	120	13	9	4	True
2023-08-22	Good 8 Squad	1535	12	3	0	95	13	8	5	True
2023-08-22	魚群	1500	16	4	2	80	12	6	6	True
2023-08-22	CAG	1495	-14	5	-1	105	14	7	7	True
2023-08-22	忍ism Gaming	1478	-16	6	-1	80	13	7	6	True
2023-08-18	名古屋OJA BODY STAR	1461	-13	7	0	50	12	4	8	False
2023-08-18	広島 TEAM iXA	1460	19	8	0	45	13	4	9	False
2023-08-22	DetonatioN FocusMe	1424	-12	9	0	20	12	2	10	True
