Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-06-15 15:37:25 UTC	CEO 2025	Round 3	Losers Round 1	2441054	2360463	2	0	Ken	Mai
2025-06-15 15:29:48 UTC	CEO 2025	Round 3	Losers Round 1	224697	385608	2	0	Guile	Dhalsim
2025-06-15 15:29:03 UTC	CEO 2025	Round 3	Winners Quarter-Final	1455289	3310490	2	1	M. Bison	JP
2025-06-15 15:28:52 UTC	CEO 2025	Round 3	Losers Round 1	557482	385095	2	1	Cammy	M. Bison
2025-06-15 15:22:27 UTC	CEO 2025	Round 3	Losers Round 1	379268	3285802	2	0	Rashid	Lily
2025-06-15 15:18:39 UTC	CEO 2025	Round 3	Losers Round 1	632437	1212885	2	1	Guile	M. Bison
2025-06-15 15:16:39 UTC	CEO 2025	Round 3	Losers Round 1	3935651	141329	2	0	Ed	Rashid
2025-06-15 15:15:51 UTC	CEO 2025	Round 3	Winners Quarter-Final	2151987	295103	2	1	Ryu	Kimberly
2025-06-15 15:10:23 UTC	CEO 2025	Round 3	Losers Round 1	339687	1816209	2	1	Luke	Luke
2025-06-15 15:08:02 UTC	CEO 2025	Round 3	Losers Round 1	140014	415068	2	0	Kimberly	Cammy
2025-06-15 02:04:45 UTC	CEO 2025	Round 2	Losers Round 4	61001	148844	2	0	N/A	N/A
2025-06-15 01:56:07 UTC	CEO 2025	Round 2	Losers Round 4	338696	401790	2	1	N/A	N/A
2025-06-15 01:51:51 UTC	CEO 2025	Round 2	Losers Round 4	547837	977212	2	1	N/A	N/A
2025-06-15 01:43:18 UTC	CEO 2025	Round 2	Losers Round 4	1231457	226786	2	1	N/A	N/A
2025-06-15 01:32:46 UTC	CEO 2025	Round 2	Winners Semi-Final	3757151	2243649	2	1	N/A	N/A
2025-06-15 01:18:48 UTC	CEO 2025	Round 2	Losers Round 3	338696	157225	2	0	N/A	N/A
2025-06-15 01:16:53 UTC	CEO 2025	Round 2	Losers Round 3	547837	2367338	2	0	N/A	N/A
2025-06-15 01:16:45 UTC	CEO 2025	Round 2	Losers Round 3	977212	3296493	2	1	N/A	N/A
2025-06-15 01:16:39 UTC	CEO 2025	Round 2	Losers Round 3	148844	70855	2	1	N/A	N/A
2025-06-15 01:16:34 UTC	CEO 2025	Round 2	Losers Round 3	61001	1564153	2	1	N/A	N/A
2025-06-15 01:16:26 UTC	CEO 2025	Round 2	Winners Semi-Final	1872282	2972996	2	1	N/A	N/A
2025-06-15 01:10:08 UTC	CEO 2025	Round 2	Losers Round 2	157225	28140	2	0	N/A	N/A
2025-06-15 01:10:04 UTC	CEO 2025	Round 2	Losers Round 3	401790	3889572	2	1	N/A	N/A
2025-06-15 01:06:25 UTC	CEO 2025	Round 2	Losers Round 3	1231457	1105411	2	0	N/A	N/A
2025-06-15 01:06:22 UTC	CEO 2025	Round 2	Losers Round 3	226786	138015	2	1	N/A	N/A
2025-06-15 00:57:08 UTC	CEO 2025	Round 2	Losers Round 2	547837	3447802	2	0	N/A	N/A
2025-06-15 00:57:03 UTC	CEO 2025	Round 2	Losers Round 1	3447802	286021	2	1	N/A	N/A
2025-06-15 00:56:55 UTC	CEO 2025	Round 2	Losers Round 2	977212	2209027	2	0	N/A	N/A
2025-06-15 00:56:47 UTC	CEO 2025	Round 2	Losers Round 2	148844	225879	2	0	N/A	N/A
2025-06-15 00:56:44 UTC	CEO 2025	Round 2	Losers Round 2	61001	184440	2	0	N/A	N/A
2025-06-15 00:56:38 UTC	CEO 2025	Round 2	Losers Round 1	2209027	1286264	2	0	N/A	N/A
2025-06-15 00:56:35 UTC	CEO 2025	Round 2	Losers Round 1	977212	131476	2	0	N/A	N/A
2025-06-15 00:55:33 UTC	CEO 2025	Round 2	Losers Round 2	1231457	291259	2	0	N/A	N/A
2025-06-15 00:55:29 UTC	CEO 2025	Round 2	Losers Round 2	138015	1298511	2	0	N/A	N/A
2025-06-15 00:55:23 UTC	CEO 2025	Round 2	Losers Round 2	3889572	184121	2	1	N/A	N/A
2025-06-15 00:55:18 UTC	CEO 2025	Round 2	Losers Round 1	184121	68059	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-06-15 00:55:14 UTC	CEO 2025	Round 2	Losers Round 1	3889572	3516031	2	1	N/A	N/A
2025-06-15 00:51:16 UTC	CEO 2025	Round 2	Winners Semi-Final	228743	224650	2	1	N/A	N/A
2025-06-15 00:42:36 UTC	CEO 2025	Round 2	Winners Semi-Final	240230	394851	2	0	N/A	N/A
2025-06-15 00:41:57 UTC	CEO 2025	Round 2	Losers Round 1	28140	358496	2	0	N/A	N/A
2025-06-15 00:41:53 UTC	CEO 2025	Round 2	Losers Round 1	157225	2805889	2	0	N/A	N/A
2025-06-15 00:41:50 UTC	CEO 2025	Round 2	Losers Round 1	1231457	126181	2	0	N/A	N/A
2025-06-15 00:41:47 UTC	CEO 2025	Round 2	Losers Round 1	291259	2819157	2	0	N/A	N/A
