playerId	gamerTag	country	countryCode	imageUrl
624333	NASR|AngryBird	United Arab Emirates	AE	https://images.start.gg/images/user/436396/image-9bbcf8a0d70ca19d52e8eeeca4ebc0f5.jpeg?ehk=Ce7i%2FJyCIpK1KSSLtVuM7EZBMNFTV0lO2vrXDXraA90%3D&ehkOptimized=2LmjrKdacNTCdcP3pYFUF%2BQH97Pm7W2VvleDK6n%2BGRE%3D
224650	MenaRD	Dominican Republic	DO	https://images.start.gg/images/user/137923/image-96fb646163b6ba461dfcf5b526f44144.jpg?ehk=dX5nCv9TxrGAPMg2ZypmjRHCHHkrs7h%2FjbNNP%2Fdm6Q8%3D&ehkOptimized=PRkfrNTwdOmlMsBt2QY%2FyUvMq4myEafu%2BXo1Bu%2FbDjw%3D
240230	Punk			https://images.start.gg/images/user/152968/image-c1416e1744416062a02a4df6b60938f5.png?ehk=ghQqM1frSBMicrXF6wt56YD6PgHXK3qGzi9lvTtlfwM%3D&ehkOptimized=d0kS%2BrdATAc0Q6PXF3vp%2B%2BCW%2FVC77k%2B%2BkuNyL29mAuY%3D
148527	Tokido	Japan	JP	https://images.start.gg/images/user/87389/image-df59cd3560a7fe9fa999aa294a2e9f2b.jpg?ehk=1bxLFfxIAivVG6P2uFCMnvbqJBNMTad3IBFxaMTYGnc%3D&ehkOptimized=OKbUuiwk%2FDOsOvDg6b58JNl%2FEtoWq42R%2Fp8WtooUahM%3D
1366617	Kakeru			
138008	HAITANI	Japan	JP	
616064	Fujimura	Japan	JP	
385095	Nemo	Japan	JP	https://images.start.gg/images/user/265133/image-274ba89d70c744db5c2d3c2a32d502ee.jpg?ehk=C1YoUg%2F77BKVGevLspg%2BdQIKQi%2B9M065AQWDC1tZ4CI%3D&ehkOptimized=e%2BnG5xPVJ7IBYy3CFuQVDVnBmT6sOuSyPFp%2F%2B85aioA%3D
565873	Fuudo	Japan	JP	https://images.start.gg/images/user/396085/image-8373bd73cc61eecf42b10802bfec3cc9.jpg?ehk=%2FR0WhveaXQ6Pm3cOe1p9WafDOxEn3lSy0vHWdf4Af9M%3D&ehkOptimized=wXZYmjhCTKhoXPjm8CTBFhD2XIWceC42A6ejDk1e2Fc%3D
395486	moke	Japan	JP	https://images.start.gg/images/user/275133/image-f0a9a4593ac9f07f25ad5150f350ea45.jpg?ehk=nZLrHqCsl9SNSdDsk7Qorv8K%2B7Z9E1ZmdDhoVwtBrkk%3D&ehkOptimized=afmJiDdC0vb1e3tcivZnYwSBAzbZfhBRqUzQq0ZQmP8%3D
214100	Oil King	Taiwan	TW	https://images.start.gg/images/user/133552/image-a46dd13ca2208f2c9b6ddc27207dfe4a.jpg?ehk=n6FbFo7ifoRyQoycCsuVFCcBfP6TDLsb%2FmwS1glISeQ%3D&ehkOptimized=JrGMEjXXFXS8YbHd4FWOW5QLPzZtGk8zjo5i45skD3M%3D
131806	SR NuckleDu	United States	US	
