playerId	playerTag	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
1834200	Rocketkev	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
1550186	Saiyan 182	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
609291	WindyMan	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
22138	cemo	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
45710	Paradox	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
1525177	m0dking	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	4.0	2.0	2.0
69385	Lyan	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
69260	Snatcher	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
717800	Haupp	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
1336338	Darkkplus	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	4.0	2.0	2.0
1340856	sunkissedchungus	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
1344384	Red Lotus	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	2.0	1.0	1.0
1410492	Algebra 2	2023-08-06	1499	1500	1499	-1	3235	-3234	True	0.5	4.0	2.0	2.0
140127	pZero39	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	4.0	2.0	2.0
156935	Cary	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	4.0	2.0	2.0
176357	Ramesrock	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	4.0	2.0	2.0
1264635	SKTheGruuuVman	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	4.0	2.0	2.0
487053	King CarBQ	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	2.0	1.0	1.0
706586	RexHannibal	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	2.0	1.0	1.0
353788	BARTStation	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	4.0	2.0	2.0
3365542	WildNuggey	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	4.0	2.0	2.0
3310620	Dazzle Razzle	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	4.0	2.0	2.0
1963917	the black lebowski	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	2.0	1.0	1.0
1697013	Xombified	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	4.0	2.0	2.0
1357413	Shiwanmi	2023-08-06	1498	1500	1498	-2	3371	-3370	True	0.5	2.0	1.0	1.0
3321342	The Audazity	2023-08-06	1497	1500	1497	-3	3383	-3382	True	0.5	4.0	2.0	2.0
