Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-05-09 11:37:01 UTC	EVO Japan 2025	Round1	Losers Round 2	4668801	498613	2	0	N/A	N/A
2025-05-09 11:37:00 UTC	EVO Japan 2025	Round1	Winners Semi-Final	2778395	3497296	2	1	N/A	N/A
2025-05-09 11:36:58 UTC	EVO Japan 2025	Round1	Winners Round 1	4668503	3765394	2	1	N/A	N/A
2025-05-09 11:36:58 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4369814	4420356	2	1	N/A	N/A
2025-05-09 11:36:57 UTC	EVO Japan 2025	Round1	Losers Round 1	4669289	1331206	2	0	N/A	N/A
2025-05-09 11:36:56 UTC	EVO Japan 2025	Round1	Losers Round 2	4536215	4465830	2	1	N/A	N/A
2025-05-09 11:36:52 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3497296	4668876	2	0	N/A	N/A
2025-05-09 11:36:51 UTC	EVO Japan 2025	Round1	Losers Round 3	3778425	567717	2	1	N/A	N/A
2025-05-09 11:36:49 UTC	EVO Japan 2025	Round1	Winners Round 1	4452486	4668390	2	0	N/A	N/A
2025-05-09 11:36:48 UTC	EVO Japan 2025	Round1	Losers Round 2	3814395	3937359	2	1	N/A	N/A
2025-05-09 11:36:46 UTC	EVO Japan 2025	Round1	Losers Round 3	4369814	1161909	2	0	N/A	N/A
2025-05-09 11:36:41 UTC	EVO Japan 2025	Round1	Losers Round 2	3787395	3730212	2	0	N/A	N/A
2025-05-09 11:36:32 UTC	EVO Japan 2025	Round1	Losers Round 1	4668801	4196956	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:36:32 UTC	EVO Japan 2025	Round1	Losers Round 2	3778425	3769760	2	0	N/A	N/A
2025-05-09 11:36:29 UTC	EVO Japan 2025	Round1	Winners Final	565184	2108306	2	0	N/A	N/A
2025-05-09 11:36:25 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	2058639	3631342	2	0	N/A	N/A
2025-05-09 11:36:25 UTC	EVO Japan 2025	Round1	Losers Round 1	3937359	3927351	2	0	N/A	N/A
2025-05-09 11:36:25 UTC	EVO Japan 2025	Round1	Losers Round 1	3778425	4731185	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:36:20 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4658680	4634358	2	0	N/A	N/A
2025-05-09 11:36:18 UTC	EVO Japan 2025	Round1	Winners Final	2360453	3958237	2	0	N/A	N/A
2025-05-09 11:36:16 UTC	EVO Japan 2025	Round1	Losers Semi-Final	1456561	4645788	2	0	N/A	N/A
2025-05-09 11:36:15 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	2307156	2248138	2	1	N/A	N/A
2025-05-09 11:36:14 UTC	EVO Japan 2025	Round1	Losers Round 2	567717	4668958	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:36:13 UTC	EVO Japan 2025	Round1	Winners Semi-Final	2108306	498685	2	0	N/A	N/A
2025-05-09 11:36:13 UTC	EVO Japan 2025	Round1	Winners Semi-Final	2360453	3252251	2	0	N/A	N/A
2025-05-09 11:36:11 UTC	EVO Japan 2025	Round1	Winners Round 1	2248138	1487788	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:36:11 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	1456561	3619768	2	0	N/A	N/A
2025-05-09 11:36:09 UTC	EVO Japan 2025	Round1	Winners Round 1	3374848	4568369	2	1	N/A	N/A
2025-05-09 11:36:09 UTC	EVO Japan 2025	Round1	Winners Semi-Final	3958237	4366850	2	1	N/A	N/A
2025-05-09 11:36:08 UTC	EVO Japan 2025	Round1	Winners Semi-Final	565184	3626824	2	1	N/A	N/A
2025-05-09 11:36:08 UTC	EVO Japan 2025	Round1	Losers Round 2	4369814	4731160	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:36:06 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4645788	3517744	2	0	N/A	N/A
2025-05-09 11:36:05 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3252251	3730212	2	1	N/A	N/A
2025-05-09 11:36:02 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	2778395	4609700	2	0	N/A	N/A
2025-05-09 11:36:02 UTC	EVO Japan 2025	Round1	Losers Round 2	1161909	1454740	2	0	N/A	N/A
2025-05-09 11:36:01 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	2360453	3814395	2	0	N/A	N/A
2025-05-09 11:36:01 UTC	EVO Japan 2025	Round1	Losers Round 3	3619768	4649994	2	0	N/A	N/A
2025-05-09 11:35:57 UTC	EVO Japan 2025	Round1	Losers Round 3	4645788	4669256	2	0	N/A	N/A
2025-05-09 11:35:56 UTC	EVO Japan 2025	Round1	Winners Round 1	4669293	4731804	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:35:56 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3958237	4465830	2	0	N/A	N/A
2025-05-09 11:35:52 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4366850	498613	2	0	N/A	N/A
2025-05-09 11:35:51 UTC	EVO Japan 2025	Round1	Losers Round 2	3619768	4532515	2	0	N/A	N/A
2025-05-09 11:35:50 UTC	EVO Japan 2025	Round1	Losers Round 1	4731160	4729986	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:35:49 UTC	EVO Japan 2025	Round1	Winners Round 1	4658680	551598	2	0	N/A	N/A
2025-05-09 11:35:47 UTC	EVO Japan 2025	Round1	Winners Round 1	4668328	4620773	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:35:47 UTC	EVO Japan 2025	Round1	Winners Round 1	3730212	4196956	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:35:46 UTC	EVO Japan 2025	Round1	Losers Round 2	4649994	3913818	2	0	N/A	N/A
2025-05-09 11:35:42 UTC	EVO Japan 2025	Round1	Winners Round 1	3252251	4668801	2	0	N/A	N/A
2025-05-09 11:35:42 UTC	EVO Japan 2025	Round1	Winners Final	1576002	4668361	2	1	N/A	N/A
2025-05-09 11:35:40 UTC	EVO Japan 2025	Round1	Losers Round 2	4669256	243844	2	0	N/A	N/A
2025-05-09 11:35:39 UTC	EVO Japan 2025	Round1	Winners Round 1	2778395	4671284	2	0	N/A	N/A
2025-05-09 11:35:38 UTC	EVO Japan 2025	Round1	Winners Round 1	275557	4653981	2	0	N/A	N/A
2025-05-09 11:35:38 UTC	EVO Japan 2025	Round1	Winners Round 1	3814395	4536215	2	0	N/A	N/A
2025-05-09 11:35:36 UTC	EVO Japan 2025	Round1	Winners Semi-Final	1576002	3904292	2	0	N/A	N/A
2025-05-09 11:35:35 UTC	EVO Japan 2025	Round1	Losers Round 2	4645788	4658648	2	1	N/A	N/A
2025-05-09 11:35:33 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	565184	4525839	2	1	N/A	N/A
2025-05-09 11:35:33 UTC	EVO Japan 2025	Round1	Winners Round 1	4465830	3927351	2	0	N/A	N/A
2025-05-09 11:35:32 UTC	EVO Japan 2025	Round1	Winners Round 1	4609700	4645574	2	0	N/A	N/A
2025-05-09 11:35:31 UTC	EVO Japan 2025	Round1	Winners Semi-Final	4668361	4420356	2	1	N/A	N/A
2025-05-09 11:35:28 UTC	EVO Japan 2025	Round1	Losers Round 1	4532515	4731245	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:35:27 UTC	EVO Japan 2025	Round1	Winners Round 1	3957741	4646493	2	1	N/A	N/A
2025-05-09 11:35:26 UTC	EVO Japan 2025	Round1	Winners Round 1	4634358	4731690	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:35:26 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3904292	1161909	2	1	N/A	N/A
2025-05-09 11:35:25 UTC	EVO Japan 2025	Round1	Winners Round 1	3958237	3937359	2	0	N/A	N/A
2025-05-09 11:35:24 UTC	EVO Japan 2025	Round1	Losers Round 1	4669256	4657737	2	0	N/A	N/A
2025-05-09 11:35:22 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1576002	4369814	2	0	N/A	N/A
2025-05-09 11:35:21 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3626824	3904410	2	0	N/A	N/A
2025-05-09 11:35:21 UTC	EVO Japan 2025	Round1	Winners Round 1	4668876	1265616	2	0	N/A	N/A
2025-05-09 11:35:20 UTC	EVO Japan 2025	Round1	Winners Round 1	4366850	3787395	2	0	N/A	N/A
2025-05-09 11:35:17 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	2108306	4665518	2	0	N/A	N/A
2025-05-09 11:35:16 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4420356	567717	2	1	N/A	N/A
2025-05-09 11:35:16 UTC	EVO Japan 2025	Round1	Winners Final	558326	1555017	2	0	N/A	N/A
2025-05-09 11:35:12 UTC	EVO Japan 2025	Round1	Winners Round 1	3631342	4663754	2	0	N/A	N/A
2025-05-09 11:35:12 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4668361	3769760	2	0	N/A	N/A
2025-05-09 11:35:11 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	498685	3163164	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:35:11 UTC	EVO Japan 2025	Round1	Winners Semi-Final	558326	3517744	2	0	N/A	N/A
2025-05-09 11:35:07 UTC	EVO Japan 2025	Round1	Winners Round 1	1161909	3778425	2	1	N/A	N/A
2025-05-09 11:35:05 UTC	EVO Japan 2025	Round1	Winners Round 1	565184	3972864	2	0	N/A	N/A
2025-05-09 11:35:01 UTC	EVO Japan 2025	Round1	Winners Round 1	3904292	4731185	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:35:01 UTC	EVO Japan 2025	Round1	Winners Semi-Final	1555017	1456561	2	0	N/A	N/A
2025-05-09 11:34:59 UTC	EVO Japan 2025	Round1	Winners Round 1	4525839	4731734	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:34:57 UTC	EVO Japan 2025	Round1	Winners Round 1	1576002	4668958	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:34:55 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1456561	4658648	2	0	N/A	N/A
2025-05-09 11:34:53 UTC	EVO Japan 2025	Round1	Winners Round 1	3626824	4668854	2	0	N/A	N/A
2025-05-09 11:34:52 UTC	EVO Japan 2025	Round1	Losers Semi-Final	1338119	4198648	2	0	N/A	N/A
2025-05-09 11:34:52 UTC	EVO Japan 2025	Round1	Winners Round 1	567717	4731160	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:34:49 UTC	EVO Japan 2025	Round1	Losers Semi-Final	4534317	4503080	2	1	N/A	N/A
2025-05-09 11:34:48 UTC	EVO Japan 2025	Round1	Winners Round 1	4420356	4729986	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-05-09 11:34:47 UTC	EVO Japan 2025	Round1	Winners Round 1	2108306	1331206	2	0	N/A	N/A
2025-05-09 11:34:47 UTC	EVO Japan 2025	Round1	Winners Round 1	1456561	4532515	2	0	N/A	N/A
2025-05-09 11:34:45 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4198648	4640978	2	0	N/A	N/A
2025-05-09 11:34:43 UTC	EVO Japan 2025	Round1	Winners Round 1	3769760	1454740	2	0	N/A	N/A
