Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-10-31 08:25:18 UTC	Fightclub Championship	Pools	Winners Quarter-Final	5024149	5011225	2	1	N/A	N/A
2025-10-31 08:25:02 UTC	Fightclub Championship	Pools	Winners Quarter-Final	2615047	4987646	2	0	N/A	N/A
2025-10-31 08:24:59 UTC	Fightclub Championship	Pools	Winners Quarter-Final	2013729	4987661	2	0	N/A	N/A
2025-10-31 08:23:39 UTC	Fightclub Championship	Pools	Winners Quarter-Final	4987770	4987673	2	0	N/A	N/A
2025-10-31 08:23:31 UTC	Fightclub Championship	Pools	Winners Round 2	5017399	4987705	2	1	N/A	N/A
2025-10-31 08:23:06 UTC	Fightclub Championship	Pools	Losers Round 1	4987643	5024131	2	0	N/A	N/A
2025-10-31 08:22:56 UTC	Fightclub Championship	Pools	Winners Round 2	570603	5024110	2	0	N/A	N/A
2025-10-31 08:22:35 UTC	Fightclub Championship	Pools	Winners Round 1	4987735	5011206	2	0	N/A	N/A
2025-10-31 08:22:32 UTC	Fightclub Championship	Pools	Winners Quarter-Final	1228359	4987742	2	0	N/A	N/A
2025-10-31 08:22:25 UTC	Fightclub Championship	Pools	Winners Round 2	5028412	5024108	2	0	N/A	N/A
2025-10-31 08:22:11 UTC	Fightclub Championship	Pools	Winners Quarter-Final	4987648	5011177	2	0	N/A	N/A
2025-10-31 08:22:05 UTC	Fightclub Championship	Pools	Losers Round 2	5011207	5024111	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:21:58 UTC	Fightclub Championship	Pools	Winners Round 2	5028425	4987786	2	1	N/A	N/A
2025-10-31 08:21:46 UTC	Fightclub Championship	Pools	Winners Round 2	138008	5024073	2	0	N/A	N/A
2025-10-31 08:21:38 UTC	Fightclub Championship	Pools	Losers Round 2	5024120	5011234	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:21:32 UTC	Fightclub Championship	Pools	Losers Round 1	5011234	5024208	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:21:10 UTC	Fightclub Championship	Pools	Winners Round 2	1212885	4987741	2	0	N/A	N/A
2025-10-31 08:21:03 UTC	Fightclub Championship	Pools	Winners Round 2	338696	5011207	2	0	N/A	N/A
2025-10-31 08:20:44 UTC	Fightclub Championship	Pools	Losers Round 3	5011250	5011178	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:20:25 UTC	Fightclub Championship	Pools	Winners Round 2	4938829	5024111	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:20:20 UTC	Fightclub Championship	Pools	Winners Quarter-Final	4438825	5011250	2	0	N/A	N/A
2025-10-31 08:20:05 UTC	Fightclub Championship	Pools	Winners Round 2	4987709	5024120	2	0	N/A	N/A
2025-10-31 08:19:44 UTC	Fightclub Championship	Pools	Winners Round 2	547837	5028415	2	0	N/A	N/A
2025-10-31 08:19:33 UTC	Fightclub Championship	Pools	Winners Quarter-Final	358562	5024113	2	0	N/A	N/A
2025-10-31 08:19:17 UTC	Fightclub Championship	Pools	Losers Round 1	5024178	4987759	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:19:13 UTC	Fightclub Championship	Pools	Winners Round 2	2615047	5011179	2	0	N/A	N/A
2025-10-31 08:18:56 UTC	Fightclub Championship	Pools	Winners Quarter-Final	4987618	4987674	2	0	N/A	N/A
2025-10-31 08:18:46 UTC	Fightclub Championship	Pools	Losers Round 1	5024166	5024155	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:18:38 UTC	Fightclub Championship	Pools	Losers Round 2	5011178	5024190	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:18:27 UTC	Fightclub Championship	Pools	Losers Semi-Final	5024077	2044559	2	0	N/A	N/A
2025-10-31 08:18:03 UTC	Fightclub Championship	Pools	Winners Round 2	4987661	5024058	2	0	N/A	N/A
2025-10-31 08:17:37 UTC	Fightclub Championship	Pools	Winners Round 2	4987775	5024155	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:17:35 UTC	Fightclub Championship	Pools	Losers Round 1	5024162	5024143	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:17:19 UTC	Fightclub Championship	Pools	Winners Round 2	540521	5011165	2	0	N/A	N/A
2025-10-31 08:17:04 UTC	Fightclub Championship	Pools	Losers Round 1	5011195	4987764	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:16:59 UTC	Fightclub Championship	Pools	Winners Round 2	1228359	1177827	2	0	N/A	N/A
2025-10-31 08:16:52 UTC	Fightclub Championship	Pools	Winners Round 2	4987683	4987764	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:16:46 UTC	Fightclub Championship	Pools	Losers Round 1	5011178	5011209	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:16:33 UTC	Fightclub Championship	Pools	Winners Round 2	4295277	5028414	2	0	N/A	N/A
2025-10-31 08:16:30 UTC	Fightclub Championship	Pools	Winners Round 2	4987658	4987684	W	L	N/A	N/A
2025-10-31 08:15:40 UTC	Fightclub Championship	Pools	Winners Round 2	4987672	5024143	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:15:12 UTC	Fightclub Championship	Pools	Winners Round 1	5024073	5024131	2	0	N/A	N/A
2025-10-31 08:14:48 UTC	Fightclub Championship	Pools	Winners Round 2	3754588	5011234	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:14:42 UTC	Fightclub Championship	Pools	Winners Round 2	1126435	4987760	2	1	N/A	N/A
2025-10-31 08:14:32 UTC	Fightclub Championship	Pools	Winners Round 2	2992861	4987706	2	0	N/A	N/A
2025-10-31 08:13:25 UTC	Fightclub Championship	Pools	Winners Round 2	5011225	1791717	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:13:16 UTC	Fightclub Championship	Pools	Winners Round 1	5011225	5024208	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:13:15 UTC	Fightclub Championship	Pools	Winners Round 1	5028415	5011166	2	0	N/A	N/A
2025-10-31 08:13:14 UTC	Fightclub Championship	Pools	Winners Round 2	5011177	135910	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:13:06 UTC	Fightclub Championship	Pools	Losers Round 2	5024209	566596	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:13:05 UTC	Fightclub Championship	Pools	Winners Round 1	5011177	5011195	2	1	N/A	N/A
2025-10-31 08:13:02 UTC	Fightclub Championship	Pools	Losers Round 1	5024209	5011238	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:12:42 UTC	Fightclub Championship	Pools	Winners Round 2	4438825	4987776	2	1	N/A	N/A
2025-10-31 08:12:35 UTC	Fightclub Championship	Pools	Winners Quarter-Final	5024122	5024170	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:12:35 UTC	Fightclub Championship	Pools	Winners Round 2	4987674	5024053	2	1	N/A	N/A
2025-10-31 08:12:24 UTC	Fightclub Championship	Pools	Winners Round 2	5024170	5011238	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:12:09 UTC	Fightclub Championship	Pools	Winners Round 2	5024149	4987743	2	0	N/A	N/A
2025-10-31 08:12:01 UTC	Fightclub Championship	Pools	Winners Round 1	5011207	5024162	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:11:51 UTC	Fightclub Championship	Pools	Winners Round 2	4987673	5024055	2	0	N/A	N/A
2025-10-31 08:11:34 UTC	Fightclub Championship	Pools	Winners Round 2	4987618	336807	2	1	N/A	N/A
2025-10-31 08:11:25 UTC	Fightclub Championship	Pools	Winners Round 2	4987752	5011209	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:11:22 UTC	Fightclub Championship	Pools	Losers Quarter-Final	5024077	5024105	2	0	N/A	N/A
2025-10-31 08:11:08 UTC	Fightclub Championship	Pools	Winners Round 2	5024113	4987721	2	1	N/A	N/A
2025-10-31 08:11:05 UTC	Fightclub Championship	Pools	Winners Round 1	5011165	5028417	2	1	N/A	N/A
2025-10-31 08:10:50 UTC	Fightclub Championship	Pools	Winners Round 2	5011243	4987759	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:10:45 UTC	Fightclub Championship	Pools	Winners Round 2	5024124	4987774	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:10:41 UTC	Fightclub Championship	Pools	Winners Round 1	5011179	5024147	2	0	N/A	N/A
2025-10-31 08:10:24 UTC	Fightclub Championship	Pools	Winners Round 2	4987770	1934873	2	0	N/A	N/A
2025-10-31 08:09:58 UTC	Fightclub Championship	Pools	Winners Round 1	4987741	5024178	2	1	N/A	N/A
2025-10-31 08:09:53 UTC	Fightclub Championship	Pools	Winners Round 2	4987630	5024157	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:09:48 UTC	Fightclub Championship	Pools	Winners Round 2	4987646	4936357	2	0	N/A	N/A
2025-10-31 08:09:07 UTC	Fightclub Championship	Pools	Losers Quarter-Final	2044559	5011204	2	0	N/A	N/A
2025-10-31 08:08:52 UTC	Fightclub Championship	Pools	Winners Round 2	5024122	566596	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 08:08:41 UTC	Fightclub Championship	Pools	Winners Round 2	4987707	5011215	2	0	N/A	N/A
2025-10-31 08:08:29 UTC	Fightclub Championship	Pools	Winners Round 2	4987648	5028418	2	0	N/A	N/A
2025-10-31 08:08:08 UTC	Fightclub Championship	Pools	Winners Round 2	5011250	4987643	2	0	N/A	N/A
2025-10-31 08:08:07 UTC	Fightclub Championship	Pools	Winners Round 1	1177827	5024209	2	0	N/A	N/A
2025-10-31 08:08:07 UTC	Fightclub Championship	Pools	Winners Round 1	5028414	5024166	2	0	N/A	N/A
2025-10-31 08:07:58 UTC	Fightclub Championship	Pools	Losers Semi-Final	5024057	3565690	2	0	N/A	N/A
2025-10-31 08:07:33 UTC	Fightclub Championship	Pools	Winners Round 2	2013729	4987785	2	0	N/A	N/A
2025-10-31 08:07:04 UTC	Fightclub Championship	Pools	Winners Round 2	4987742	5024153	2	0	N/A	N/A
2025-10-31 08:06:31 UTC	Fightclub Championship	Pools	Winners Round 2	358562	5011187	2	0	N/A	N/A
2025-10-31 08:04:20 UTC	Fightclub Championship	Pools	Losers Round 4	5024105	5028421	2	0	N/A	N/A
