Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars	RateDiff
2025-05-09 13:21:46 UTC	EVO Japan 2025	Round1	Losers Round 2	4513294	4452338	2	0			15
2025-05-09 13:21:44 UTC	EVO Japan 2025	Round1	Winners Round 1	1375899	4617381	2	0			15
2025-05-09 13:21:42 UTC	EVO Japan 2025	Round1	Winners Final	4382439	3979040	2	1			10
2025-05-09 13:21:40 UTC	EVO Japan 2025	Round1	Losers Round 1	4023670	4731661	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:21:37 UTC	EVO Japan 2025	Round1	Winners Semi-Final	4382439	4534488	2	0			14
2025-05-09 13:21:37 UTC	EVO Japan 2025	Round1	Winners Round 1	4669286	4731249	W (DQ/FF)	L (DQ/FF)			11
2025-05-09 13:21:37 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	1634226	4638293	2	1			10
2025-05-09 13:21:36 UTC	EVO Japan 2025	Round1	Losers Round 3	3929585	2816163	2	0			14
2025-05-09 13:21:36 UTC	EVO Japan 2025	Round1	Losers Round 1	4513294	4729638	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:21:35 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	502882	4661627	2	0			15
2025-05-09 13:21:34 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3929318	4663734	2	0			15
2025-05-09 13:21:32 UTC	EVO Japan 2025	Round1	Winners Round 1	3959259	4729657	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:21:32 UTC	EVO Japan 2025	Round1	Winners Semi-Final	3979040	4665682	2	0			15
2025-05-09 13:21:31 UTC	EVO Japan 2025	Round1	Losers Round 3	4452537	4666967	2	0			16
2025-05-09 13:21:29 UTC	EVO Japan 2025	Round1	Winners Final	3433072	1556309	2	0			15
2025-05-09 13:21:28 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4382439	4671004	2	0			14
2025-05-09 13:21:28 UTC	EVO Japan 2025	Round1	Winners Round 1	3929318	4612285	2	0			15
2025-05-09 13:21:27 UTC	EVO Japan 2025	Round1	Losers Round 1	568162	4731909	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:21:25 UTC	EVO Japan 2025	Round1	Losers Round 2	3929585	3889469	2	0			13
2025-05-09 13:21:25 UTC	EVO Japan 2025	Round1	Winners Round 1	4522079	1489315	2	0			14
2025-05-09 13:21:24 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4534488	4042330	W (DQ/FF)	L (DQ/FF)			11
2025-05-09 13:21:24 UTC	EVO Japan 2025	Round1	Winners Semi-Final	1556309	4240494	2	0			16
2025-05-09 13:21:22 UTC	EVO Japan 2025	Round1	Losers Round 1	3929958	4729630	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:21:22 UTC	EVO Japan 2025	Round1	Losers Quarter-Final	4643713	3836612	2	0			16
2025-05-09 13:21:20 UTC	EVO Japan 2025	Round1	Winners Semi-Final	3433072	148458	2	1			12
2025-05-09 13:21:19 UTC	EVO Japan 2025	Round1	Losers Round 2	2816163	4619447	2	1			10
